의결일,사건번호,의결번호,조치,사건명,수집키워드
2024-05-22,2022안정0367,약식2024-071,시정명령,(주)노루페인트의 부당한 광고행위에 대한 건,환경
2024-05-14,2022안정0368,의결2024-165,과징금,(주)참길의 부당한 표시·광고행위에 대한 건,환경
2024-01-04,2020안정1773,의결2024-003,과징금,얀마농기코리아(주)의 부당한 표시행위에 대한 건,환경
2023-07-31,2020안정1873,의결2023-109,과징금,(주)엘지유플러스의 부당한 광고행위에 대한 건,환경
2023-07-31,2020안정1874,의결2023-108,과징금,(주)케이티의 부당한 광고행위에 대한 건,환경
2023-07-31,2020안정1872,의결2023-107,과징금,에스케이텔레콤(주)의 부당한 광고행위에 대한 건,환경
2023-07-03,2021서소0003,의결2023-097,고발,3개 아기욕조 제조판매사업자의 부당한 표시광고 행위에 대한 건,환경
2023-04-27,2020안정1777,의결2023-074,과징금,테슬라코리아 유한회사 및 테슬라 인코퍼레이티드의 부당한 광고행위에 대한 건,환경
2023-04-07,2021전자1875,약식2023-034,시정명령,(주)에듀피디의 부당한 표시광고행위 및 전자상거래소비자보호법 위반행위에 대한 건,환경
2022-10-27,2022안정1693,의결2022-261,고발,애경산업(주) 등 3개 가습기살균제 제조판매 사업자의 부당한 광고행위에 대한 건,환경
2022-10-24,2022안정1693,결정2022-029,고발,애경산업(주) 등 3개 가습기살균제 제조판매 사업자의 부당한 광고행위에 대한 건,환경
2022-04-12,2018안정2257,의결2022-093,과징금,메르세데스벤츠코리아(주) 등 3개 자동차 제조ㆍ판매사업자의 부당한 표시ㆍ광고행위에 대한 건,환경
2022-02-15,2019안정2607,의결2022-034,경고,기아자동차(주)의 부당한 표시행위에 대한 건,재활용
2022-02-15,2019안정2605,의결2022-035,경고,현대자동차(주)의 부당한 표시행위에 대한 건,재활용
2021-11-03,2019안정2467,의결2021-283,시정명령,포르쉐코리아(주) 및 포르쉐아게의 부당한 표시행위에 대한 건,환경
2021-11-03,2018안정2258,의결2021-282,과징금,아우디폭스바겐코리아(주) 등 3개 자동차 제조·판매 사업자의 부당한 표시광고행위에 대한 건,환경
2021-10-27,2020안정1568,의결2021-274,과징금,한국닛산(주) 및 일산자동차(주)의 부당한 표시행위에 대한 건,환경
2021-10-25,2019안정2622,의결2021-268,과징금,에프씨에이코리아(주) 및 에프씨에이이탈리아 에스피에이의 부당한 표시행위에 대한 건,환경
2021-05-24,2019서소2539,의결2021-136,과징금,엘지전자(주)의 부당한 표시광고행위에 대한 건,환경
2021-04-20,2018안정2752,의결2021-102,과징금,(주)엘지하우시스의 부당한 광고행위에 대한 건,환경
